ug,gr,ri,iz
1.635317,0.3248768,0.09635353,0.05652046
2.168926,0.9742413,0.3916855,0.2207317
2.049757,0.6651268,0.3421097,0.2828484
3.132477,1.818684,0.8807411,0.6778421
1.496593,0.4770346,0.1887131,0.1190252
1.568233,0.7319088,0.2845516,0.1799831
1.521627,0.5268183,0.2213154,0.1243782
1.513058,0.674818,0.2968578,0.1887293
-0.6166182,0.1582832,-0.1047239,1.221387
2.069085,0.01098442,-0.05041313,1.762589
1.407579,0.6707106,0.3662024,0.2916536
1.511932,0.7204819,0.3014221,0.2588863
1.939638,0.9452286,0.3875189,0.2696028
1.653915,0.838027,0.3646774,0.2560825
1.453104,0.6743746,0.2864962,0.1053648
1.924921,0.789854,0.3894463,0.301528
0.116127,-0.3023453,-0.06923485,1.638584
2.3342,1.134357,0.4932747,0.3116846
1.739037,0.8488979,0.3636913,0.2625284
1.969587,1.104435,0.5058708,0.3519411
1.553073,0.2684174,0.09662819,0.09953976
1.506848,0.4562292,0.1833067,0.1302195
2.833548,1.548189,0.7552309,0.5672503
1.696167,0.8002911,0.3276348,0.2044144
1.882877,0.8907242,0.3773365,0.2354946
1.681467,0.638073,0.324996,0.2847338
1.49555,0.452857,0.1838169,0.08823013
1.643579,0.7955685,0.3260994,0.2114506
2.189409,1.020589,0.4377556,0.292388
1.402535,0.6099005,0.2488432,0.1437864
1.780838,0.7151623,0.2435493,0.09783268
1.525927,0.7580853,0.3312683,0.1947269
2.125935,0.9298859,0.3476543,0.2229719
2.100492,-0.1217127,-0.2575302,2.376067
1.396969,0.5304089,0.1971121,0.1127644
2.343903,1.010254,0.3878765,0.1940441
1.238412,0.5989866,0.3344746,0.2818546
2.84173,1.543205,0.704814,0.44487
1.528399,0.7625694,0.3239784,0.2387772
1.523113,0.7621078,0.3257275,0.1588211
1.73307,0.845746,0.3676586,0.2297144
2.034576,0.9888973,0.4159431,0.2856827
1.694155,0.824028,0.3801117,0.2562199
1.530453,0.823679,0.3744507,0.2485352
1.556738,0.7839756,0.354023,0.215168
1.770485,0.7733326,0.413866,0.1430511
1.464857,0.689127,0.3244781,0.1528816
1.686857,0.6107407,-0.02316666,0.6905012
1.713751,0.6863651,0.3742962,0.3340359
1.966284,0.9658871,0.5143661,0.400116
1.694016,0.7819471,0.3183594,0.2018147
1.512656,0.5527773,0.2763929,0.2448978
1.569738,0.7401104,0.3082151,0.179534
1.604921,0.6870737,0.282795,0.2069321
1.563927,0.7472019,0.313221,0.242733
1.700201,0.7808886,0.3392372,0.2141676
1.387613,0.6404486,0.256217,0.1694317
2.02047,0.9968014,0.4215012,0.2727757
1.621798,0.5778275,0.300602,0.2814074
1.807072,0.8353834,0.4620724,0.392931
1.495472,0.1074533,-0.9844379,1.853906
1.629301,0.5545464,0.2360239,0.1406431
1.478256,0.6438904,0.2694349,0.15944
